selling_price,km_driven,fuel,seller_type,transmission,owner,seats,Age,Mileage(kmpl),Engine,Power,torque_value
13.017005083966255,11.8879382384223,Diesel,Individual,Manual,First Owner,5,7,23.4,7.130098510125578,74.0,190.0
12.821260987319457,11.695255355062795,Diesel,Individual,Manual,Second Owner,5,7,21.14,7.312553498102598,103.52,250.0
11.970356641102999,11.849404844423074,Petrol,Individual,Manual,Third Owner,5,15,17.7,7.311886164077165,78.0,158.28754266211604
12.323860125621126,11.751950239425476,Diesel,Individual,Manual,First Owner,5,11,23.0,7.242082359256962,90.0,158.28754266211604
11.775297421715827,11.695255355062795,Petrol,Individual,Manual,First Owner,5,14,16.1,7.1693500166706,88.2,158.28754266211604
12.994532278619134,10.714439990727769,Petrol,Individual,Manual,First Owner,5,4,20.14,7.088408778675395,81.86,158.28754266211604
11.472113887062386,12.07254696717504,LPG,Individual,Manual,First Owner,5,14,24.22,6.967909201801884,57.5,158.28754266211604
10.714439990727769,8.517393171418904,Petrol,Individual,Manual,Second Owner,4,20,16.1,6.680854678790215,37.0,59.0
12.765691290604371,11.407576060361786,Diesel,Individual,Manual,First Owner,5,10,23.59,7.21890970761906,67.1,170.0
12.206077645517674,12.037659911047468,Diesel,Individual,Manual,First Owner,5,8,20.0,7.24422751560335,68.1,160.0
13.122365377402328,11.127277689932466,Diesel,Individual,Manual,Second Owner,5,7,19.01,7.2875606403097235,108.45,248.0
11.429554725537322,11.51293546492023,Petrol,Individual,Manual,Second Owner,5,16,17.3,6.901737206656574,60.0,78.0
12.54254845357358,11.849404844423074,Diesel,Individual,Manual,Second Owner,5,12,19.3,7.130098510125578,73.9,190.0
12.206077645517674,11.289794413577894,Petrol,Individual,Manual,Second Owner,0,14,19.51658386035922,0.0,91.51914359752243,158.28754266211604
12.100717685412471,11.407576060361786,Petrol,Individual,Manual,Second Owner,5,12,18.9,6.967909201801884,67.0,84.0
12.899222326086994,10.596659732783579,Petrol,Individual,Manual,First Owner,5,5,18.15,7.089243155027514,82.0,115.0
13.564483088506746,11.156264806643742,Diesel,Individual,Manual,Second Owner,5,5,24.52,7.130098510125578,88.5,200.0
13.122365377402328,10.87806606028079,Diesel,Individual,Manual,Second Owner,5,9,23.0,7.242082359256962,90.0,158.28754266211604
11.918397239722838,11.289794413577894,Petrol,Individual,Manual,Second Owner,5,19,19.7,6.680854678790215,46.3,62.0
13.429849547739444,11.51293546492023,Diesel,Individual,Manual,First Owner,5,5,22.54,7.242082359256962,88.73,7.0
12.066816325306588,11.51293546492023,Diesel,Individual,Manual,Second Owner,5,10,21.0,7.2875606403097235,64.1,160.0
13.76421831620775,10.819798284210286,Diesel,Individual,Manual,First Owner,5,4,25.5,7.312553498102598,98.6,200.0
13.171155446333852,10.596659732783579,Diesel,Individual,Manual,First Owner,5,6,26.59,7.130098510125578,74.0,190.0
13.304686600863562,11.184435286790631,Diesel,Individual,Manual,First Owner,5,9,21.5,7.130098510125578,88.8,200.0
13.122365377402328,10.463131911491967,Petrol,Individual,Manual,First Owner,5,3,20.3,7.090076835776092,83.81,114.0
13.26212705890841,10.714439990727769,Petrol,Individual,Manual,First Owner,5,5,21.4,7.088408778675395,83.1,115.0
12.524530013005734,10.239995502805316,Petrol,Individual,Manual,First Owner,5,4,24.7,6.680854678790215,47.3,69.0
12.611541086966115,11.156264806643742,Diesel,Individual,Manual,First Owner,5,8,18.2,7.130098510125578,73.8,5.0
12.301387370778713,11.695255355062795,Petrol,Individual,Manual,First Owner,5,12,18.9,6.967909201801884,67.0,84.0
12.449018824140563,10.12667110305036,Petrol,Individual,Manual,First Owner,5,3,16.8,6.680854678790215,34.2,59.0
13.415034483903348,11.156264806643742,Diesel,Individual,Manual,First Owner,5,4,24.3,7.130098510125578,88.5,200.0
11.156264806643742,10.819798284210286,Petrol,Individual,Manual,Second Owner,0,18,19.51658386035922,0.0,91.51914359752243,158.28754266211604
11.918397239722838,10.463131911491967,Petrol,Individual,Manual,Second Owner,5,9,14.0,6.680854678790215,35.0,158.28754266211604
13.500801182986649,7.77863014732581,Petrol,Individual,Manual,First Owner,5,3,18.6,7.088408778675395,81.83,7.0
13.384729180332174,9.692828247710418,Diesel,Individual,Manual,First Owner,5,4,24.3,7.130098510125578,88.5,200.0
12.706850963741102,9.210440366976517,CNG,Individual,Manual,Second Owner,4,2,19.51658386035922,6.680854678790215,40.3,60.0
12.810391344620207,9.61587214452889,Petrol,Individual,Manual,First Owner,5,2,23.95,6.906754778648554,67.1,90.0
13.954403427152533,8.517393171418904,Petrol,Individual,Manual,First Owner,5,2,17.0,7.3727463664043285,121.3,151.0
11.918397239722838,10.645448706505872,Petrol,Individual,Manual,First Owner,5,5,20.63,7.089243155027514,67.0,104.0
12.959846800844963,11.002116507732017,Diesel,Individual,Manual,Second Owner,5,10,13.93,7.687080155783135,138.03,320.0
11.918397239722838,11.23850177707664,Petrol,Individual,Manual,First Owner,4,9,16.1,6.680854678790215,37.0,59.0
14.557448378884015,8.517393171418904,Petrol,Individual,Automatic,First Owner,5,2,16.0,7.221835825288449,147.8,250.0
13.73755009757506,10.27163147557801,Petrol,Dealer,Manual,First Owner,5,3,17.8,7.311886164077165,117.3,145.0
12.959846800844963,11.3655964644899,Petrol,Dealer,Manual,First Owner,5,8,16.8,7.311886164077165,116.3,146.0
13.42246945133505,10.056251557087757,Petrol,Dealer,Automatic,First Owner,5,3,18.5,7.088408778675395,83.14,115.0
13.617059619240436,10.392098241730961,Diesel,Dealer,Manual,First Owner,5,3,24.3,7.130098510125578,88.5,200.0
12.873904582205107,9.239996256883693,Petrol,Dealer,Manual,First Owner,5,3,23.95,6.906754778648554,67.05,90.0
14.220976332738882,11.251573687764477,Diesel,Dealer,Manual,First Owner,5,7,12.55,8.000684784514748,147.8,343.0
13.45883704259595,11.502885230075814,Diesel,Dealer,Manual,First Owner,5,8,12.99,7.822044008185619,100.0,200.0
14.187074804051692,10.2328272702548,Diesel,Dealer,Automatic,Second Owner,5,7,14.8,7.670428522190693,120.7,200.0
12.959846800844963,10.815790343132422,Diesel,Dealer,Manual,First Owner,5,6,24.7,7.312553498102598,98.63,200.0
13.901689171636098,11.92504173829169,Diesel,Dealer,Manual,First Owner,5,8,13.5,7.815207062189088,147.8,400.0
13.304686600863562,10.909637269778615,Diesel,Dealer,Manual,First Owner,5,6,26.0,7.312553498102598,98.6,200.0
13.652992804936396,11.06665398721974,Petrol,Dealer,Manual,First Owner,5,3,20.65,7.288244401020124,103.25,138.0
13.171155446333852,11.050905878263567,Diesel,Dealer,Manual,First Owner,5,6,27.3,7.312553498102598,98.6,200.0
14.316286451937186,11.757446872843532,Diesel,Dealer,Automatic,Second Owner,5,5,11.36,7.9215356321335495,147.8,360.0
13.76421831620775,11.502885230075814,Diesel,Dealer,Manual,First Owner,5,5,12.99,7.822044008185619,100.6,200.0
14.375126917328105,10.431199791458543,Diesel,Dealer,Automatic,Second Owner,5,8,17.68,7.585281078639126,147.8,380.0
14.279245203127035,10.12667110305036,Petrol,Dealer,Automatic,First Owner,5,3,14.28,7.4949862339505335,138.03,173.0
14.340239086899256,10.819798284210286,Diesel,Dealer,Automatic,First Owner,5,8,18.53,7.585281078639126,147.8,400.0
14.169683073439028,10.985309671896763,Diesel,Dealer,Automatic,First Owner,5,8,14.84,7.670428522190693,147.8,400.0
12.487488878546145,11.695255355062795,Diesel,Individual,Manual,First Owner,5,10,21.12,7.130098510125578,88.8,200.0
12.154784614286667,11.608244735642321,Petrol,Individual,Manual,Third Owner,5,10,20.36,7.088408778675395,78.9,7.0
12.959846800844963,11.002116507732017,Diesel,Individual,Manual,First Owner,5,8,21.27,7.242082359256962,88.76,6.0
13.353476685668044,11.898194668458823,Diesel,Individual,Manual,Second Owner,5,6,26.59,7.130098510125578,74.0,190.0
13.304686600863562,10.12667110305036,Petrol,Individual,Manual,Third Owner,5,4,18.16,7.087573705557973,86.8,112.0
13.384729180332174,10.308985993422082,Petrol,Individual,Manual,First Owner,5,2,21.4,7.088408778675395,83.1,115.0
13.199326270390594,10.596659732783579,Diesel,Individual,Manual,First Owner,5,5,22.0,7.312553498102598,108.495,250.0
13.353476685668044,11.813037464800539,Diesel,Individual,Manual,First Owner,5,6,25.1,7.312553498102598,98.6,200.0
13.012550743537489,10.308985993422082,Petrol,Individual,Automatic,First Owner,5,3,20.51,6.906754778648554,67.0,90.0
13.122365377402328,11.289794413577894,Diesel,Individual,Manual,First Owner,5,4,21.66,7.312553498102598,108.62,250.0
13.521140839642674,11.156264806643742,Diesel,Individual,Manual,First Owner,5,5,24.3,7.130098510125578,88.5,200.0
13.840204146163925,9.19532825185568,Diesel,Individual,Automatic,First Owner,5,2,24.3,7.130098510125578,88.5,200.0
12.367345048436391,11.002116507732017,Petrol,Individual,Manual,Second Owner,5,10,20.36,7.088408778675395,78.9,7.0
13.353476685668044,11.156264806643742,Diesel,Individual,Manual,First Owner,5,5,25.2,7.130098510125578,74.0,190.0
14.346139397261565,11.264476926102367,Diesel,Individual,Manual,Second Owner,5,6,12.55,8.000684784514748,147.8,343.0
13.017005083966255,11.695255355062795,Diesel,Individual,Manual,Second Owner,5,8,22.9,7.130098510125578,74.0,190.0
13.017005083966255,11.695255355062795,Petrol,Individual,Manual,Second Owner,5,9,16.02,7.2254814727822945,93.7,130.0
10.819798284210286,11.156264806643742,Diesel,Individual,Manual,First Owner,0,18,19.51658386035922,0.0,91.51914359752243,158.28754266211604
13.017005083966255,12.04355959836804,Diesel,Individual,Manual,First Owner,5,8,20.54,7.377133712833954,103.6,250.0
13.997832948091215,11.849404844423074,Diesel,Individual,Manual,First Owner,5,5,12.99,7.822044008185619,100.6,200.0
13.321215875492413,11.407576060361786,Diesel,Individual,Manual,First Owner,5,6,22.77,7.312553498102598,98.59,205.0
14.731801689838349,10.308985993422082,Petrol,Individual,Automatic,Second Owner,5,5,15.71,7.6004023345004,147.8,280.0
13.091904169919621,9.210440366976517,Petrol,Dealer,Manual,First Owner,5,4,23.1,6.906754778648554,67.04,90.0
12.524530013005734,10.799595985047786,Petrol,Dealer,Manual,First Owner,5,5,19.02,7.089243155027514,67.05,104.0
12.660331092405906,10.373522431293592,Petrol,Dealer,Manual,First Owner,5,5,24.7,6.680854678790215,47.3,69.0
12.524530013005734,10.545367754151743,Petrol,Dealer,Manual,First Owner,5,5,24.7,6.680854678790215,47.3,69.0
13.07107218827772,11.264476926102367,Diesel,Dealer,Manual,First Owner,0,6,19.51658386035922,0.0,91.51914359752243,158.28754266211604
12.577639650232573,10.239995502805316,Petrol,Dealer,Manual,First Owner,5,9,19.81,6.99117688712121,68.05,4.0
12.54254845357358,10.373522431293592,Petrol,Dealer,Manual,First Owner,5,4,14.0,6.680854678790215,35.0,158.28754266211604
12.323860125621126,10.691967639914864,LPG,Dealer,Manual,First Owner,5,11,19.51658386035922,6.906754778648554,58.2,77.0
13.02805489573287,10.645448706505872,Petrol,Dealer,Manual,First Owner,5,6,16.47,7.089243155027514,74.0,110.0
12.768544351446794,10.714439990727769,Petrol,Dealer,Manual,Second Owner,5,6,19.81,6.99117688712121,68.05,4.0
13.190023895035274,9.392745258631441,Petrol,Dealer,Manual,Second Owner,5,9,15.04,7.377133712833954,103.6,153.0
